7-EBAP-25J-SB-IL-ILE,ILUMINACION EXTERNA ESTACION ILUMINACION EXTERNA,VFP,6-EBAP-25J-SB-IL
7-EBAP-25J-SB-IL-ILI,ILUMINACION INTERNA ESTACION ILUMINACION INTERNA,VFP,6-EBAP-25J-SB-IL
6-EBAP-25J-SB-IN,SISTEMA DE INSTRUMENTACION Y CONTROL,P,5-EBAP-25J-SB
7-EBAP-25J-SB-IN-FIT,MEDIDOR DE CAUDAL CAUDALIMETRO,VFP,6-EBAP-25J-SB-IN
7-EBAP-25J-SB-IN-HMI,HMI,VFP,6-EBAP-25J-SB-IN
7-EBAP-25J-SB-IN-RTU,RTU,VFP,6-EBAP-25J-SB-IN
7-EBAP-25J-SB-IN-SWE,SWITCH ETHERNET,VFP,6-EBAP-25J-SB-IN
7-EBAP-25J-SB-IN-UAC,UPS AC,VFP,6-EBAP-25J-SB-IN
6-EBAP-25J-SB-MT,MEDIA TENSION,P,5-EBAP-25J-SB
7-EBAP-25J-SB-MT-TRF,TRANSFORMADOR TRIFASICO SISTEMA DE TRANSFORMACION PRINCIPAL,VFP,6-EBAP-25J-SB-MT
6-EBAP-25J-SB-SC,SISTEMA DE COMPENSACION,P,5-EBAP-25J-SB
7-EBAP-25J-SB-SC-CAP,TABLERO BANCO DE CAPACITORES SISTEMA DE COMPENSACION,VFP,6-EBAP-25J-SB-SC
6-EBAP-25J-SB-SP,SISTEMA DE PROTECCION,P,5-EBAP-25J-SB
7-EBAP-25J-SB-SP-PRT,PUESTA A TIERRA SISTEMA DE PROTECCION,VFP,6-EBAP-25J-SB-SP
6-EBAP-25J-SB-TM,TELEMETRIA,P,5-EBAP-25J-SB
7-EBAP-25J-SB-TM-RD1,RADIO TRIO RADIO 1,VFP,6-EBAP-25J-SB-TM
7-EBAP-25J-SB-TM-RD2,RADIO MODEM DNP3 RADIO 2,VFP,6-EBAP-25J-SB-TM
7-EBAP-25J-SB-TM-UDC,SISTEMA DE RESPALDO DE ENERGIA UPS DC,VFP,6-EBAP-25J-SB-TM
4-EBAP-29A,ESTACION DE BOMBEO AAPP 29 DE ABRIL,P,-
5-EBAP-29A-IF,INFRAESTRUCTURA,P,4-EBAP-29A
6-EBAP-29A-IF-ES,ESTRUCTURA,P,5-EBAP-29A-IF
7-EBAP-29A-IF-ES-INF,None ESTRUCTURAS DE LA ESTACION,VFP,6-EBAP-29A-IF-ES
5-EBAP-29A-SB,SISTEMA DE BOMBEO,P,4-EBAP-29A
6-EBAP-29A-SB-BM,BOMBEO,P,5-EBAP-29A-SB
7-EBAP-29A-SB-BM-GB1,TX PRESION DESCARGA GRUPO 1,VFP,6-EBAP-29A-SB-BM
7-EBAP-29A-SB-BM-GB2,MOTOR 2 CISTERNA GRUPO 2,VFP,6-EBAP-29A-SB-BM
6-EBAP-29A-SB-DI,SISTEMA DE DISTRIBUCION,P,5-EBAP-29A-SB
7-EBAP-29A-SB-DI-ILP,TABLERO DE ILUMINACION,VFP,6-EBAP-29A-SB-DI
7-EBAP-29A-SB-DI-MCC,CENTRO DE CARGA CISTERNA CENTRO DE CARGA,VFP,6-EBAP-29A-SB-DI
7-EBAP-29A-SB-DI-MPE,MEDIDOR DE PARAMETROS ELECTRICOS,VFP,6-EBAP-29A-SB-DI
7-EBAP-29A-SB-DI-PWP,TABLERO PRINCIPAL TABLERO DE FUERZA,VFP,6-EBAP-29A-SB-DI
6-EBAP-29A-SB-IL,SISTEMA DE ILUMINACION,P,5-EBAP-29A-SB
7-EBAP-29A-SB-IL-ILE,ILUMINACION EXTERNA CISTERNA ILUMINACION EXTERNA,VFP,6-EBAP-29A-SB-IL
7-EBAP-29A-SB-IL-ILI,ILUMINACION INTERNA CISTERNA ILUMINACION INTERNA,VFP,6-EBAP-29A-SB-IL
