01-Estaciones Telemétricas.Radio.DNP3.03-121-BIM BAM BUM,01-Estaciones Telemétricas.Radio.DNP3.03-121-BIM BAM BUM    Alarmas Activas: 0,-2.16451,-79.9286,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-114-C5,01-Estaciones Telemétricas.Radio.DNP3.03-114-C5     Alarmas Activas: 0,-2.11276,-79.9163,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-115-B1,01-Estaciones Telemétricas.Radio.DNP3.03-115-B1     Alarmas Activas: 0,-2.10327,-79.9221,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-117-B3,01-Estaciones Telemétricas.Radio.DNP3.03-117-B3     Alarmas Activas: 0,-2.08038,-79.9241,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-118-San Eduardo,01-Estaciones Telemétricas.Radio.DNP3.03-118-San Eduardo    Alarmas Activas: 0,-2.18891,-79.9305,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-119-Orquideas AALL,01-Estaciones Telemétricas.Radio.DNP3.03-119-Orquideas AALL    Alarmas Activas: 0,-2.09154,-79.9178,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-126- AAPP Tenguel 2,01-Estaciones Telemétricas.Radio.DNP3.03-126- AAPP Tenguel 2    Alarmas Activas: 0,-2.99633,-79.7899,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-127-Puna,01-Estaciones Telemétricas.Radio.DNP3.03-127-Puna    Alarmas Activas: 0,-2.74002,-79.9079,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-129-Booster Sur Flor de Bastion,01-Estaciones Telemétricas.Radio.DNP3.03-129-Booster Sur Flor de Bastion    Alarmas Activas: 0,-2.12005,-79.956,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-128-Booster Cerro El Jordan,01-Estaciones Telemétricas.Radio.DNP3.03-128-Booster Cerro El Jordan    Alarmas Activas: 0,-2.07987,-79.9332,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-130-Tanque 35-60 Sur Flor de Bastion,01-Estaciones Telemétricas.Radio.DNP3.03-130-Tanque 35-60 Sur Flor de Bastion    Alarmas Activas: 0,-2.12267,-79.9568,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-131-Tanque Flor de Batión 60-85 Sur,01-Estaciones Telemétricas.Radio.DNP3.03-131-Tanque Flor de Batión 60-85 Sur    Alarmas Activas: 0,-2.12103,-79.9624,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-132-Tanque 85-110 Sur Flor de Bastion,01-Estaciones Telemétricas.Radio.DNP3.03-132-Tanque 85-110 Sur Flor de Bastion    Alarmas Activas: 0,-2.12379,-79.9611,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-134- Bosques de la Costa 1,01-Estaciones Telemétricas.Radio.DNP3.03-134- Bosques de la Costa 1    Alarmas Activas: 0,-2.18455,-79.9696,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-135-Booster Norte Flor de Bastion,01-Estaciones Telemétricas.Radio.DNP3.03-135-Booster Norte Flor de Bastion    Alarmas Activas: 0,-2.10209,-79.9569,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-136-29 de Abril y 12 de Octubre,01-Estaciones Telemétricas.Radio.DNP3.03-136-29 de Abril y 12 de Octubre    Alarmas Activas: 0,-2.14647,-79.9413,0,0,0,0,0
01-Estaciones Telemétricas.Radio.DNP3.03-137-Bastion Norte-35-60,01-Estaciones Telemétricas.Radio.DNP3.03-137-Bastion Norte-35-60    Alarmas Activas: 0,-2.10733,-79.9688,0,0,0,0,0
